target,action,reward
0,(0; 0.13),[0.02165212 3.672956  ],-0.25709401816693384
0,(0; 0.13),[0.1549865  0.19140138],-0.46199044521198773
0,(0.13; 0),[0.01487725 4.5731864 ],-0.2616911705740332
0,(0; -0.13),[0.15875411 2.5351696 ],-0.06602104342567999
0,(0; -0.13),[0.1363466  0.25224078],-0.2445140883010165
0,(0.13; 0),[0.07125241 2.3313665 ],-0.18505192682949942
0,(0; 0.13),[0.06422512 6.0511208 ],-0.24514701183447155
0,(0.13; 0),[0.11409694 2.5417194 ],-0.011142702684396348
0,(0; -0.13),[0.18028669 1.1280637 ],0.5050307600459704
0,(0; -0.13),[0.1083525 1.2951927],0.02336376436782996
0,(0; 0.13),[0.14144988 5.5991673 ],-0.03544864031828298
0,(0; 0.13),[0.13379456 4.397711  ],0.19554201174472063
0,(0; 0.13),[0.08545442 5.437846  ],-0.13995472250485538
0,(0.13; 0),[0.04849352 4.84983   ],-0.270851375844091
0,(0.13; 0),[0.10221729 1.5360309 ],-0.2964182495016399
0,(0; 0.13),[0.19113344 2.097805  ],-0.8234996962445579
0,(0; -0.13),[0.11772741 3.1059568 ],-0.2978243981956389
0,(0; -0.13),[0.05128831 5.798614  ],-0.2905967684310827
0,(0.13; 0),[0.12519039 1.0112083 ],-0.46281860873140346
0,(0; -0.13),[0.09302268 4.260175  ],-0.4249832447436947
0,(0; 0.13),[0.22      1.1107012],-0.9677270942852897
0,(0; -0.13),[0.22     4.693471],-0.9943402398919186
0,(0.13; 0),[0.19867763 1.5876728 ],-0.5407586596770095
0,(0.13; 0),[0.02067133 4.190208  ],-0.2576348131309949
0,(0.13; 0),[0.06473479 3.1823328 ],-0.16435329670504584
0,(0; 0.13),[0.04876936 6.0248885 ],-0.2500733483604155
0,(0.13; 0),[0.11383952 5.938414  ],-0.5058770868262488
0,(0.13; 0),[0.06507856 4.3998504 ],-0.23716071542711495
0,(0; 0.13),[0.14833875 6.0037985 ],-0.24720695228696363
0,(0; -0.13),[0.18894804 0.6358618 ],-0.07553898386679543
0,(0.13; 0),[0.11020289 5.9220347 ],-0.4910869674252138
0,(0.13; 0),[0.08476448 1.7301745 ],-0.24961059815795011
0,(0.13; 0),[0.12801385 4.3586907 ],-0.19866992079560175
0,(0; 0.13),[0.04000322 3.0842326 ],-0.26503951663058223
0,(0; -0.13),[0.15303339 0.36567673],-0.2092639111951934
0,(0; 0.13),[0.06818873 4.6207914 ],-0.1534423777663887
0,(0; -0.13),[0.09059188 6.2831855 ],-0.2788356065372434
0,(0.13; 0),[1.4475858e-03 4.0440717e+00],-0.2623353090050652
0,(0.13; 0),[0.20166269 4.571104  ],-0.48694303367300873
0,(0; 0.13),[0.06042347 0.68779397],-0.31454294636223706
0,(0; 0.13),[0.05985288 5.3792033 ],-0.19892284986388156
0,(0; 0.13),[0.1858383 5.822448 ],-0.2142631996970627
0,(0; -0.13),[0.20874034 3.4395778 ],-0.7234200351511848
0,(0.13; 0),[0.00870543 3.0746677 ],-0.260676700899692
0,(0; 0.13),[0.12093731 5.221086  ],0.04881661752909699
0,(0; 0.13),[0.14860262 5.6839714 ],-0.07467797472415921
0,(0; 0.13),[0.03503786 2.2561183 ],-0.2834812865389514
0,(0.13; 0),[0.15473688 1.1937    ],-0.52124654874688
0,(0.13; 0),[0.14634329 4.3068967 ],-0.1818673134240395
0,(0; -0.13),[0.06515478 4.757708  ],-0.3527297318065104
3),[0.04500987 4.340201  ],-0.2195176274257828
0,(0; 0.13),[0.15970163 0.58141506],-0.5958059632963671
0,(0.13; 0),[0.02267796 0.3113822 ],-0.27322787022564027
0,(0; -0.13),[0.12304456 2.428698  ],-0.06389117902474196
0,(0; 0.13),[0.04993188 0.7402553 ],-0.2999585010864194
0,(0; -0.13),[0.06097364 4.788886  ],-0.3418032000197859
0,(0.13; 0),[0.02084614 2.1853118 ],-0.25679320416723384
0,(0; -0.13),[0.13517319 2.5002754 ],-0.06843052239376063
0,(0.13; 0),[0.0588716 6.2039638],-0.3366000759239954
